epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.7199,1.81098,4.2503,2.18239,0.50649,0.52194,0.58758,0.30339,1.71258,4.38837,2.75644,0.00011432,0.00011432,0.00011432
2,53.5183,1.34227,2.45781,1.6633,0.70055,0.92769,0.91269,0.57589,1.15437,3.42734,1.80428,0.000238922,0.000238922,0.000238922
3,59.8368,1.00712,1.3977,1.35654,0.82759,0.93333,0.95397,0.61047,1.17286,3.31749,1.97011,0.000359279,0.000359279,0.000359279
4,65.0976,1.10132,1.13181,1.42647,0.65789,0.79339,0.77597,0.41785,1.4541,3.50134,2.20258,0.000475393,0.000475393,0.000475393
5,70.0414,1.06226,0.94618,1.39665,0.86129,0.66667,0.66849,0.29899,1.58301,3.39626,2.43837,0.000587262,0.000587262,0.000587262
6,74.7195,1.11442,1.0332,1.45277,0.53147,0.30723,0.20877,0.10337,2.52269,3.26169,4.50407,0.000694887,0.000694887,0.000694887
7,78.4925,1.07273,0.97826,1.43919,0.76837,0.7746,0.81426,0.25475,2.21005,2.58427,4.94209,0.000798268,0.000798268,0.000798268
8,83.3339,1.19681,0.90281,1.4729,0.78152,0.90277,0.88537,0.28127,2.26958,2.43001,5.35675,0.000897405,0.000897405,0.000897405
9,88.1835,1.1372,0.90467,1.43341,0.46797,0.25714,0.19921,0.06053,2.6377,9.83239,5.31346,0.000992298,0.000992298,0.000992298
10,92.1198,1.14433,0.90568,1.4353,0.00934,0.06667,0.00235,0.00032,4.01232,35.6191,13.4956,0.00108295,0.00108295,0.00108295
11,96.5179,1.05913,0.85205,1.41222,0.0001,0.11111,7e-05,5e-05,3.48723,53.2691,9.76259,0.00116935,0.00116935,0.00116935
12,101.309,1.02836,0.75664,1.32347,0.49231,0.60882,0.52923,0.25365,1.96144,2.38708,3.16323,0.00116964,0.00116964,0.00116964
13,105.236,1.08525,0.77578,1.37237,0.58553,0.66631,0.71023,0.30552,1.83526,1.61949,2.99189,0.00114606,0.00114606,0.00114606
14,110.731,0.97923,0.70818,1.3082,0.43852,0.69841,0.66911,0.21007,2.43578,2.48829,3.64594,0.00112248,0.00112248,0.00112248
15,115.126,1.04527,0.67322,1.31896,0.37182,0.42742,0.35135,0.14881,2.30374,4.75072,3.76682,0.0010989,0.0010989,0.0010989
16,119.061,1.09694,0.70721,1.40709,0.65499,0.8795,0.84667,0.37144,1.75818,2.26306,2.69338,0.00107532,0.00107532,0.00107532
17,123.836,1.04521,0.6768,1.33586,0.35329,0.68347,0.48838,0.23536,1.96095,3.88775,3.09787,0.00105174,0.00105174,0.00105174
18,128.286,0.98882,0.6756,1.35591,0.32886,0.62222,0.43011,0.16095,2.4102,2.65263,4.0642,0.00102817,0.00102817,0.00102817
19,131.941,1.00443,0.6722,1.34602,0.90701,0.59365,0.77368,0.28677,2.03229,1.80253,3.0346,0.00100459,0.00100459,0.00100459
20,137.047,1.08482,0.69894,1.34068,0.6458,0.35556,0.58185,0.24451,1.77758,3.20612,2.89071,0.000981008,0.000981008,0.000981008
21,141.593,1.01223,0.70166,1.39063,0.30807,0.5962,0.37045,0.26948,1.6656,2.9194,2.76765,0.00095743,0.00095743,0.00095743
22,145.59,0.98561,0.66762,1.35745,0.95085,0.97186,0.995,0.54047,1.45938,2.23452,2.35739,0.000933851,0.000933851,0.000933851
23,150.567,1.00836,0.63211,1.31785,0.96315,1,0.995,0.59128,1.35371,1.7534,2.08713,0.000910273,0.000910273,0.000910273
24,154.805,0.94986,0.65214,1.31563,0.87891,1,0.995,0.59872,1.33067,0.79086,1.98264,0.000886694,0.000886694,0.000886694
25,158.86,0.96245,0.67178,1.28765,0.96396,1,0.995,0.6508,1.28122,0.66207,1.91261,0.000863116,0.000863116,0.000863116
26,163.956,0.94115,0.691,1.30858,0.97831,1,0.995,0.65673,1.22446,0.57551,1.83039,0.000839537,0.000839537,0.000839537
27,168.269,0.89842,0.53858,1.26174,0.97438,1,0.995,0.65558,1.21169,0.59853,1.8603,0.000815959,0.000815959,0.000815959
28,172.196,0.97866,0.63711,1.32079,0.92262,1,0.995,0.56466,1.44524,0.98346,2.06788,0.00079238,0.00079238,0.00079238
29,177.073,0.88478,0.53779,1.25046,0.88135,0.90092,0.98917,0.49873,1.56278,1.26666,2.1227,0.000768802,0.000768802,0.000768802
30,181.095,0.93852,0.59492,1.28121,0.87219,0.84536,0.995,0.62092,1.2721,0.81009,1.91522,0.000745223,0.000745223,0.000745223
31,184.731,0.93096,0.7081,1.28901,0.96602,1,0.995,0.64783,1.19838,0.62254,1.86524,0.000721645,0.000721645,0.000721645
32,189.746,0.93864,0.60425,1.29815,0.88247,1,0.98463,0.59882,1.4537,0.75577,2.00877,0.000698066,0.000698066,0.000698066
33,193.832,0.95987,0.60911,1.30627,0.98008,1,0.995,0.65648,1.24339,0.53351,1.84876,0.000674488,0.000674488,0.000674488
34,197.925,0.92403,0.7597,1.27566,0.98363,1,0.995,0.65617,1.1115,0.4762,1.77193,0.000650909,0.000650909,0.000650909
35,202.259,0.86307,0.55461,1.21913,0.97757,1,0.995,0.65054,1.25812,0.57723,1.81972,0.000627331,0.000627331,0.000627331
36,206.897,0.91954,0.60876,1.25336,0.938,0.94826,0.98917,0.47792,1.28518,0.72154,2.0616,0.000603752,0.000603752,0.000603752
37,210.587,0.85613,0.52845,1.23632,0.72775,0.82227,0.8875,0.49128,1.22706,0.89123,1.88143,0.000580174,0.000580174,0.000580174
38,214.765,0.85182,0.56422,1.22934,0.98588,1,0.995,0.69432,1.07132,0.42298,1.68479,0.000556595,0.000556595,0.000556595
39,219.38,0.82957,0.54759,1.22355,0.98647,1,0.995,0.65231,1.08962,0.45598,1.7607,0.000533017,0.000533017,0.000533017
40,223.357,0.86315,0.57588,1.19983,0.96971,1,0.995,0.62897,1.17986,0.50142,1.84327,0.000509438,0.000509438,0.000509438
41,227.592,0.91594,0.5472,1.30874,0.93038,1,0.995,0.67836,1.04628,0.45797,1.60412,0.00048586,0.00048586,0.00048586
42,232.231,0.86787,0.49279,1.21629,0.9686,1,0.995,0.655,1.05509,0.46063,1.6495,0.000462281,0.000462281,0.000462281
43,236.256,0.8336,0.50763,1.20974,0.97573,1,0.995,0.6296,1.15912,0.45465,1.75038,0.000438703,0.000438703,0.000438703
44,240.534,0.86274,0.49435,1.22412,0.98134,1,0.995,0.66625,1.09507,0.42304,1.61241,0.000415124,0.000415124,0.000415124
45,245.256,0.82444,0.54629,1.23213,0.98618,1,0.995,0.7206,0.99345,0.38263,1.53391,0.000391546,0.000391546,0.000391546
46,249.391,0.83432,0.4567,1.21131,0.9816,1,0.995,0.7175,0.98979,0.37225,1.5399,0.000367967,0.000367967,0.000367967
47,253.641,0.81459,0.49764,1.22943,0.97982,1,0.995,0.67879,1.03045,0.40649,1.57485,0.000344389,0.000344389,0.000344389
48,258.867,0.80261,0.43184,1.21683,0.9835,1,0.995,0.66252,1.09421,0.4129,1.59781,0.00032081,0.00032081,0.00032081
49,262.655,0.82902,0.45927,1.18848,0.97742,1,0.995,0.68941,1.0859,0.40711,1.61124,0.000297232,0.000297232,0.000297232
50,266.817,0.76188,0.4245,1.17146,0.97543,1,0.995,0.62578,1.12351,0.44027,1.69303,0.000273654,0.000273654,0.000273654
51,283.855,0.76489,0.43255,1.22481,0.97534,1,0.995,0.65228,1.12513,0.44326,1.72298,0.000250075,0.000250075,0.000250075
52,291.405,0.76644,0.40786,1.2631,0.96659,1,0.995,0.6469,1.08841,0.41054,1.6654,0.000226497,0.000226497,0.000226497
53,299.344,0.69983,0.36375,1.22525,0.96349,1,0.995,0.66665,1.06486,0.3762,1.61498,0.000202918,0.000202918,0.000202918
54,303.986,0.72017,0.41545,1.22905,0.96443,1,0.995,0.65845,1.08582,0.40817,1.60709,0.00017934,0.00017934,0.00017934
55,308.926,0.66284,0.34977,1.1927,0.96694,1,0.995,0.65397,1.08143,0.42489,1.6081,0.000155761,0.000155761,0.000155761
56,313.258,0.71381,0.38837,1.27108,0.97617,1,0.995,0.67751,1.06604,0.40988,1.59702,0.000132183,0.000132183,0.000132183
